Month;Phase;Site;Section;Poecilia_vivipara;Astyanax_bimaculatus;Cichlasoma_orientale;Serrapinnus_heterodon;Oreochromis_niloticus;Hoplias_malabaricus;Steindachnerina_notonota;Phenacogaster_calverti;Compsura_heterura;Astyanax_fasciatus;Serrapinnus_piaba;Hemigrammus_spp;Prochilodus_brevis;Hypostomus_spp;Trachelyopterus_galeatus;Crenicichla_menezesi;Characidum_bimaculatum;Leporinus_piau;Parotocinclus_cearensis
jun_2018;flowing;S5;150_200;0.010291573;0.012221243;0;0.007075457;0;0;0;0;0.00192967;0;0.000643223;0.000643223;0;0;0;0;0;0;0
jun_2018;flowing;S5;150_200;0.010291573;0.016080583;0.000643223;0.010291573;0.000643223;0;0;0.000643223;0.00192967;0;0.000643223;0;0;0;0;0;0;0;0
jun_2018;flowing;S5;150_200;0.002572893;0.006432233;0.000643223;0.0192967;0;0.000643223;0.000643223;0.003216117;0.00192967;0.001286447;0.003216117;0;0;0;0;0;0;0;0
jun_2018;flowing;S6;0_50;0.001653808;0.016538083;0;0.021499508;0;0;0;0;0.001653808;0.022326412;0.004961425;0;0;0;0;0;0;0;0
jun_2018;flowing;S6;0_50;0.04382592;0.02398022;0;0.00992285;0;0;0;0;0.000826904;0.010749754;0;0;0;0;0;0;0;0;0
jun_2018;flowing;S6;0_50;0.016538083;0.027287837;0.000826904;0.023153316;0;0;0.000826904;0;0.000826904;0.012403562;0.004961425;0;0;0;0;0;0;0;0
jun_2018;flowing;S6;50_100;0.000826904;0.047960441;0;0;0;0;0;0.001653808;0.014057371;0.02398022;0.005788329;0;0;0;0;0;0;0;0
jun_2018;flowing;S6;50_100;0.001653808;0.025634029;0;0.009095946;0;0.002480712;0;0.002480712;0.004961425;0.0198457;0.000826904;0;0;0;0;0.000826904;0;0;0
jun_2018;flowing;S6;50_100;0.016538083;0.042172112;0;0.001653808;0;0;0;0.000826904;0.001653808;0.005788329;0;0;0;0;0;0.001653808;0;0;0
jun_2018;flowing;S6;100_150;0.001653808;0.011576658;0;0.018191891;0;0;0;0;0.002480712;0.006615233;0.001653808;0;0;0;0;0;0;0;0
jun_2018;flowing;S6;100_150;0.003307617;0.017364987;0;0.006615233;0;0;0;0.002480712;0.006615233;0.014057371;0.002480712;0;0;0;0;0;0;0;0.000826904
jun_2018;flowing;S6;100_150;0.002480712;0.011576658;0;0.004134521;0;0;0;0.000826904;0.001653808;0.019018796;0.000826904;0;0;0;0;0;0;0;0
jun_2018;flowing;S6;150_200;0.000826904;0.003307617;0.001653808;0.002480712;0;0.000826904;0;0;0.010749754;0.006615233;0;0;0;0;0;0;0;0;0
jun_2018;flowing;S6;150_200;0.001653808;0.014884275;0.000826904;0.005788329;0;0.000826904;0;0.000826904;0.007442137;0.002480712;0;0;0;0;0;0;0;0;0
jun_2018;flowing;S6;150_200;0.006615233;0.02398022;0;0.014884275;0;0.000826904;0.000826904;0.000826904;0.001653808;0.005788329;0.000826904;0;0;0;0;0;0;0;0.000826904
sep_2018;non_flowing;S1;0_50;0.002527806;0.101112235;0.010111223;0;0;0.002527806;0.070778564;0.07330637;0.136501517;0;0;0;0;0;0;0.012639029;0;0;0
sep_2018;non_flowing;S1;0_50;0.078361982;0.027805865;0;0.161779575;0.002527806;0.005055612;0.012639029;0.111223458;0.252780586;0.096056623;0.722952477;0.020222447;0;0;0;0.012639029;0;0;0
sep_2018;non_flowing;S1;0_50;0.002527806;0.035389282;0;0.040444894;0;0;0;0.012639029;0.085945399;0.199696663;0.060667341;0.267947422;0;0;0;0;0;0;0
sep_2018;non_flowing;S1;50_100;0.007968762;0.023906287;0;0.270937923;0;0;0.071718862;0.023906287;0.510000797;0.039843812;0.103593912;0.015937525;0;0;0;0.015937525;0.007968762;0;0
sep_2018;non_flowing;S1;50_100;0.039843812;0.03187505;0;0.095625149;0;0;0.151406487;0.247031636;0.294844211;0.047812575;0.0637501;0.071718862;0;0;0;0;0;0;0
